question;answer;category
What is extended hours trading?;Extended hours trading allows buying and selling stocks before market open and after market close, typically with different risks and liquidity.;Trading Options
What are good till canceled (GTC) orders?;GTC orders remain active until executed or manually canceled, unlike day orders that expire at market close.;Order Types
What is slippage in trading?;Slippage is the difference between expected trade price and actual execution price, often occurring with large orders or volatile markets.;Trading Concepts
What are dark pools?;Dark pools are private exchanges allowing large investors to trade without revealing their intentions to the broader market.;Market Structure
What is algorithmic trading?;Algorithmic trading uses computer programs to automatically execute trades based on predetermined criteria and market conditions.;Advanced Trading
What are stock splits vs stock dividends?;Stock splits increase share count while reducing price proportionally; stock dividends distribute additional shares as payment to shareholders.;Corporate Actions
What is the ex-dividend date?;The ex-dividend date is when a stock begins trading without dividend rights; you must own shares before this date to receive the dividend.;Dividend Details
What are covered calls?;Covered calls involve selling call options on stocks you own, generating income but potentially limiting upside gains.;Options Strategy
What is position sizing?;Position sizing determines how much money to invest in each stock based on risk tolerance and portfolio management principles.;Risk Management
What are momentum stocks?;Momentum stocks have strong recent price performance and are expected to continue moving in the same direction based on technical analysis.;Trading Strategy
What is the January effect?;The January effect is a theory that stock prices, especially small-caps, tend to rise in January due to year-end tax selling and new year buying.;Market Anomalies
What are proxy statements and voting?;Proxy statements provide information for shareholder votes on company matters; shareholders can vote on directors, mergers, and other corporate issues.;Shareholder Rights
What is stock dilution?;Stock dilution occurs when companies issue new shares, reducing existing shareholders' ownership percentage and potentially the stock price.;Corporate Finance
What are special dividends?;Special dividends are one-time payments companies make to shareholders, typically when they have excess cash or sell assets.;Dividend Types
What is the difference between book value and market value?;Book value is company assets minus liabilities on financial statements; market value is the current stock price times outstanding shares.;Valuation Concepts
What are cyclical vs defensive stocks?;Cyclical stocks perform well during economic growth but poorly in downturns; defensive stocks remain stable regardless of economic conditions.;Stock Categories
What is sector rotation?;Sector rotation is an investment strategy of moving money between different industry sectors based on economic cycles and market conditions.;Investment Strategy
What are stock options for employees?;Employee stock options give workers the right to buy company shares at a fixed price, typically used as compensation and retention tools.;Employee Benefits
What is insider information and how is it regulated?;Insider information is material, non-public information about companies; trading on such information is illegal and monitored by regulators.;Legal Regulations
What are whisper numbers in earnings?;Whisper numbers are unofficial earnings expectations that often differ from official analyst estimates, sometimes moving stock prices.;Earnings Analysis
What is the role of market makers?;Market makers provide liquidity by continuously buying and selling stocks, profiting from bid-ask spreads while facilitating smooth trading.;Market Function
What are American vs European style options?;American options can be exercised anytime before expiration; European options can only be exercised on the expiration date.;Options Details
What is volatility trading?;Volatility trading involves strategies that profit from changes in implied volatility rather than stock price direction, often using options.;Advanced Strategy
What are spinoffs and how do they affect shareholders?;Spinoffs create new independent companies from parts of existing companies, with shareholders typically receiving shares in both entities.;Corporate Actions
What is the difference between systematic and unsystematic risk?;Systematic risk affects the entire market and cannot be diversified away; unsystematic risk is company-specific and can be reduced through diversification.;Risk Types
What are depositary receipts for foreign stocks?;Depositary receipts represent foreign company shares held by banks, allowing easier trading of international stocks on domestic exchanges.;International Access
